Seguro,Resumen,Pestaña 1,Detalle 1,Pestaña 2,Detalle 2,Pestaña 3,Detalle 3,Pestaña 4,Detalle 4,Botón enlace a página
Accidentes Personales,"Este seguro está diseñado para entregar un respaldo económico importante si una persona sufre un accidente grave. Puede ser contratado por una empresa para sus trabajadores o por una persona para sí misma.
​",Principales Beneficios,"Apoyo en lo Peor: Si un accidente causa el fallecimiento, la familia (beneficiarios) recibe un monto de dinero (UF) para enfrentar el futuro.
Invalidez: Si el accidente deja secuelas graves que impiden seguir trabajando (invalidez 2/3), se paga el capital al asegurado.
Gastos Médicos: Ayuda a pagar las cuentas de la clínica o hospital que no cubrió tu Isapre o Fonasa (si se contrata esta cobertura).
Hospitalización: Paga un monto por cada día que debas estar hospitalizado por un accidente, para cubrir gastos extra.",¿Cómo funciona?,"Ocurre el Accidente: Sufres una lesión traumática e involuntaria (caída, choque, golpe).
Atención Médica: Acudes a un centro médico. Es vital que el médico certifique que las lesiones son por accidente.
Denuncia: Avisas a la compañía de seguros y presentas los documentos (informes, boletas, certificado de defunción si aplica).
Pago: La compañía evalúa el caso y paga la indemnización correspondiente a los beneficiarios o al asegurado.",Requisitos para la Cobertura,"Que sea un Accidente: Debe ser un evento súbito y externo. No cubre infartos, ataques cerebrovasculares o enfermedades repentinas (salvo excepciones muy específicas).
Jornada (en Colectivos): Verificar si te cubre solo en el trabajo/trayecto o las 24 horas del día (incluso fin de semana).
Denuncia Oportuna: Debes avisar del accidente dentro del plazo establecido (usualmente 30 días).",Lo que NO Cubre,"Accidentes bajo influencia del alcohol o drogas.
Deportes de alto riesgo (paracaidismo, automovilismo, buceo, etc.) a menos que se especifique lo contrario.
Lesiones autoinferidas o suicidio.
Hernias, lumbagos o tirones musculares no causados por un golpe directo.
Enfermedades preexistentes.",
Asiento Pasajero,"Este seguro protege a todas las personas que viajan en tu vehículo (incluido el conductor) en caso de
un accidente de tránsito. Es un complemento vital al Seguro Obligatorio (SOAP)​",Principales Beneficios,"Protección ante Fallecimiento: Si ocurre un accidente fatal, el seguro entrega una indemnización económica (UF) a la familia de cada pasajero fallecido.
Apoyo en Invalidez: Si un pasajero queda con secuelas permanentes o invalidez a causa del accidente, recibe un capital para su sustento.
Cobertura Médica: (Si se contrata, ej. Plan C) Ayuda a pagar gastos médicos (clínica, remedios) que no cubra tu Isapre/Fonasa ni el SOAP, hasta un tope (ej. UF 50).",¿Cómo funciona?,"Ocurre el Accidente: El vehículo asegurado sufre un siniestro con ocupantes en su interior.
Atención y Constancia: Se debe trasladar a los heridos al centro asistencial y llamar a Carabineros de inmediato para dejar constancia policial (obligatorio).
Denuncia: El propietario del vehículo debe avisar a la compañía de seguros.
Pago: La compañía evalúa los antecedentes y paga las indemnizaciones a los afectados o sus familias.",Requisitos para la Cobertura,"Capacidad del Vehículo: El seguro cubre hasta el número de asientos declarado (ej. 14 pasajeros). No transportes más personas de lo permitido.
Licencia de Conducir: El conductor debe tener su licencia al día y competente para el tipo de vehículo (ej. Clase A para transporte de pasajeros).
Alcohol y Drogas: La cobertura no opera si el conductor está bajo la influencia del alcohol o drogas.",Lo que NO Cubre,"Accidentes causados por dolo (intención) del conductor.
Vehículos usados para fines distintos al declarado (ej. usar un auto particular como transporte público sin avisar).
Pasajeros que viajen en lugares no habilitados (pick-up de camionetas, pisaderas, etc.).",
Crédito,,Principales Beneficios,,¿Cómo funciona?,,Requisitos para la Cobertura,,Lo que NO Cubre,,
Equipo Móvil Agrícola,"Este seguro protege tu inversión en maquinaria (tractores, cosechadoras) contra daños accidentales y
protege tu patrimonio si dañas a otros con ellas.",Principales Beneficios,"Reparación de la Máquina: Si tu tractor choca, se vuelca, se incendia o le cae un árbol encima, el seguro paga la reparación.
Robo: Si te roban la máquina del predio, estás cubierto.
Responsabilidad Civil: Si operando el tractor golpeas una camioneta vecina o dañas un cerco ajeno, el seguro paga esos daños (hasta UF 500).
Repuestos Rápidos: Si se necesita traer un repuesto urgente en avión por un siniestro, el seguro ayuda con ese costo extra.
Circulación: Te cubre no solo trabajando en el campo, sino también trasladándote por caminos públicos (si se incluye la cláusula).",Guí de Uso,"Protege la Máquina: Si hay un accidente, toma medidas razonables para evitar que el daño aumente (ej. apagar fuego, evitar saqueo), pero sin arriesgarte.
Denuncia Policial: En caso de Robo o si hay lesionados (choque en camino público), llama a Carabineros de inmediato.
Avisa a la Compañía: Tienes un plazo breve (inmediato o máx. 10 días) para avisar. No repares nada sin autorización del liquidador.
Presupuesto: Cotiza la reparación y presenta el presupuesto al liquidador asignado.",Tus Obligaciones,"Mantención: Debes mantener la máquina en buen estado mecánico. El seguro no paga fallas por falta de aceite o mantención.
Operadores: Los conductores deben ser idóneos y tener licencia si circulan por caminos públicos.
Deducible: Recuerda que en cada siniestro de daños o robo tú pagas las primeras UF 20 (aprox. $750.000).",Lo que NO Cubre,"Fallas Mecánicas: Si se rompe el motor por uso, se corta una correa o falla la transmisión por desgaste, eso es mantención, no seguro.
Pinchazos: Si solo se revienta un neumático, no tiene cobertura.
Dolo: Daños causados intencionalmente.",
Equipo Móvil Contratista,"Este seguro protege tu inversión en maquinaria pesada o industrial (retroexcavadoras, grúas, rodillos) contra daños accidentales y protege tu patrimonio ante reclamos de terceros.
",Principales Beneficios,"Todo Riesgo Daños Físicos: Si tu máquina choca, se vuelca, se incendia o cae a un barranco, el seguro cubre la reparación o reposición.
Robo: Te protege si roban la maquinaria de la obra o lugar de guardado.
Responsabilidad Civil: Si operando la máquina causas daños a una propiedad vecina, a un vehículo o lesiones a una persona, el seguro cubre esas indemnizaciones.
Gastos Extra: Cubre costos de rescate de la máquina y limpieza del lugar tras un accidente.",Guí de Uso,"Seguridad Primero: Detén la operación y toma medidas para evitar que el daño aumente, pero sin arriesgarte.
Denuncia Policial: En caso de Robo o si hay lesionados (especialmente en vía pública), llama a Carabineros de inmediato.
Avisa a la Compañía: Tienes un plazo breve (inmediato o máx. 10 días) para avisar. No repares nada sin autorización del liquidador.
Presupuesto: Cotiza la reparación y presenta el presupuesto al liquidador asignado.",Tus Obligaciones,"Mantención: Debes mantener la máquina en buen estado mecánico. El seguro no paga fallas por falta de aceite, filtros o mantención.
Operadores: Los operadores deben ser calificados y tener licencia (Clase D) al día.
Deducible: Recuerda que en cada siniestro de daños o robo tú pagas una parte inicial (el deducible).",Lo que NO Cubre,"Fallas Mecánicas: Si se rompe el motor por uso, falla el sistema hidráulico por desgaste o se quema un fusible, eso es mantención, no seguro.
Pinchazos: Si solo se revienta un neumático, no tiene cobertura.
Sobrecarga: Daños por levantar más peso del permitido por el fabricante.
Terrenos Pantanosos: Hundimiento en terrenos no aptos para la máquina.",
Garantía,,Principales Beneficios,,¿Cómo funciona?,,Requisitos para la Cobertura,,Lo que NO Cubre,,
Instalaciones Eléctricas,"Este seguro protege tu inversión en equipos electrónicos (computadores, servidores, equipos médicos) contra daños accidentales, robo y problemas eléctricos.
",Principales Beneficios,"Todo Riesgo: Si a tu equipo se le cae un café, se golpea, sufre un alza de voltaje o se incendia, el seguro cubre la reparación.
Robo: Estás cubierto si entran a robar a tu oficina o casa.
Equipos Móviles: Si contratas la extensión, tus notebooks y tablets están protegidos también cuando los sacas a la calle o viajas dentro de Chile.
Sismo y Naturaleza: Cubre daños por terremoto o inundación (si se incluye).
Gastos Extra: Si necesitas reparar urgente un equipo crítico, el seguro puede cubrir flete aéreo de repuestos u horas extra del técnico.",Guí de Uso,"Protege el Equipo: Desconecta el equipo si hay riesgo eléctrico o de agua para evitar mayores daños.
Denuncia Policial: En caso de Robo, llama a Carabineros de inmediato y haz la denuncia detallando los equipos sustraídos.
Avisa a la Compañía: Tienes un plazo breve para avisar. No mandes a reparar sin autorización del liquidador.
Informe Técnico: Consigue un informe técnico de un servicio autorizado que indique la causa del daño y el presupuesto de reparación.",Tus Obligaciones,"Inventario: Mantén actualizada la lista de tus equipos asegurados. Si compras uno nuevo, avisa para incluirlo.
Seguridad: Mantén las medidas de seguridad (alarmas, chapas) operativas.
Respaldos: Haz copias de seguridad de tu información frecuentemente. El seguro cubre el equipo físico, pero recuperar los datos es tu responsabilidad (salvo cobertura especial).
Deducible: En cada siniestro pagarás una parte inicial (ej. UF 5).",Lo que NO Cubre,"Desgaste: Si el equipo falla por viejo o por uso normal, no está cubierto.
Software: Los virus informáticos o fallas de programas no se cubren.
Garantía: Si el daño lo cubre la garantía del fabricante, debes usar esa primero.
Estética: Rayones o abolladuras que no impidan que el equipo funcione.",
Protección Financiera,"Este seguro está diseñado para apoyar a la empresa y a sus colaboradores frente a las consecuencias económicas de un accidente grave, entregando un beneficio adicional a la cobertura legal obligatoria.
",Principales Beneficios,"Protección 24 Horas: Protege a los trabajadores no solo en el trabajo, sino también en su vida privada (según plan contratado).
Apoyo en Fallecimiento: Entrega un capital (UF) a la familia del trabajador en caso de muerte accidental.
Respaldo en Invalidez: Indemniza al trabajador si un accidente le provoca una invalidez permanente que le impida seguir trabajando.
Gastos Médicos: Puede ayudar a cubrir gastos médicos de accidentes que no estén cubiertos por la Mutual o Isapre/Fonasa.",¿Cómo funciona?,"Ocurre el Accidente: Un trabajador sufre un accidente (laboral o no, según plan).
Atención y Aviso: El trabajador recibe atención médica. La empresa debe ser notificada.
Denuncia: La empresa avisa a la compañía de seguros y presenta los antecedentes (certificados, gastos).
Pago: La aseguradora paga la indemnización correspondiente a la empresa (para reembolso) o directamente a los beneficiarios.",Requisitos para la Cobertura,"Nómina al Día: Los trabajadores deben estar incluidos en la lista asegurada.
Causa Accidental: Debe ser un evento súbito y externo. No cubre enfermedades comunes.
Denuncia: Avisar dentro del plazo establecido en la póliza.",Lo que NO Cubre,"Accidentes provocados intencionalmente por el trabajador o el empleador.
Accidentes bajo influencia de alcohol o drogas.
Enfermedades profesionales o comunes (salvo pacto específico).
Multas o sanciones laborales.",
PYME (Incendio),"Este seguro está diseñado para proteger el patrimonio de tu empresa (local, mercadería, equipos) frente a múltiples riesgos, permitiéndote recuperar la operación rápidamente tras un accidente.

",Principales Beneficios,"Protección de Activos: Si hay un incendio, terremoto o inundación, el seguro paga la reparación o reconstrucción de tu local y la reposición de tus mercaderías y muebles.
Robo: Te indemniza si entran a robar a tu negocio rompiendo accesos o asaltando al personal.
Responsabilidad Civil: Si un cliente se accidenta en tu local o tu actividad causa daños a vecinos, el seguro cubre esas indemnizaciones.
Equipos: Protege tus computadores y maquinaria clave contra daños accidentales o eléctricos.
Continuidad: (Si se contrata) Cubre la pérdida de ingresos mientras tu negocio está cerrado por reparaciones tras un siniestro.
Asistencias: Servicios de emergencia 24/7 (gasfíter, eléctrico, cerrajero) para problemas en el local.",¿Cómo funciona?,"Ocurre el Evento: Incendio, robo, rotura de cañería, etc.
Mitigación: Toma medidas seguras para evitar que el daño aumente (ej. cortar agua, llamar a bomberos/carabineros).
Denuncia: Avisa a la compañía de seguros de inmediato. En caso de robo, la constancia en Carabineros es obligatoria e inmediata.
Liquidación: Un liquidador evaluará los daños y la compañía pagará la indemnización (descontando el deducible).",Requisitos Clave,"Medidas de Seguridad: Debes mantener operativas las alarmas, cerraduras y extintores. Si declaraste tener alarma y no funcionaba en el robo, podrían no cubrirte.
Inventario: Mantén un registro actualizado de tus bienes y mercaderías.
Mantención: El local y sus instalaciones (eléctricas, agua) deben estar en buen estado.",Lo que NO Cubre,"Hurtos simples (robos sin fuerza ni violencia, ""descuidos"").
Daños por falta de mantención o desgaste natural.
Dineros o valores a la vista (salvo en caja fuerte o remesa si se contrató).
Actos dolosos (intencionales) del asegurado o sus socios.",
Responsabilidad Civil Construcción/MOP,Este seguro protege el patrimonio de tu empresa constructora frente a reclamos por daños que puedan ocurrir durante la ejecución de tus proyectos.,Principales Beneficios,"Daños a Terceros: Si una grúa cae sobre una casa vecina, o un peatón se lesiona por caída de materiales, el seguro cubre la indemnización.
Accidentes de Trabajadores: Protege a la empresa si un trabajador demanda por un accidente laboral (en exceso de la mutual).
Daños a Servicios: Si rompes una cañería de agua o un cable de luz subterráneo, el seguro cubre la reparación (si tenías los planos).
Defensa Legal: La aseguradora pone abogados y paga los gastos del juicio si te demandan por un accidente de la obra.",¿Cómo funciona?,"Ocurre el Accidente: Pasa algo en la obra que daña a un tercero o a un trabajador.
No Hagas Arreglos: No ofrezcas dinero ni aceptes la culpa en el momento.
Avisa a la Compañía: Denuncia el hecho lo antes posible.
Defensa y Pago: La aseguradora evaluará, te defenderá si es necesario y pagará la indemnización que corresponda.",Requisitos Clave,"Seguridad en Obra: Debes cumplir con todas las normas de seguridad y prevención de riesgos.
Planos: Para que cubra daños subterráneos, debes haber consultado los planos de servicios antes de excavar.
Subcontratistas: Si tienes la cobertura de RC Cruzada, tus subcontratistas también están protegidos frente a reclamos entre ellos.",Lo que NO Cubre,"Daños a la propia obra (eso es otro seguro: Todo Riesgo Construcción).
Multas o sanciones administrativas.
Daños causados a propósito.
Retrasos en la entrega de la obra.",
