Seguro,Resumen,Pestaña 1,Detalle 1,Pestaña 2,Detalle 2,Pestaña 3,Detalle 3,Pestaña 4,Detalle 4,Botón enlace a página
Asistencia en Viajes,"Este seguro actúa como un sistema de respaldo ante imprevistos. Su función no se limita al pago de cuentas médicas, sino que abarca la resolución de problemas logísticos complejos.",Principales Beneficios,"Salud 24/7: La cobertura abarca desde patologías simples hasta cirugías complejas, incluyendo atención por COVID-19 y acceso a telemedicina para consultas remotas.
Vuelo y Equipaje: Se otorgan compensaciones económicas en situaciones de demora prolongada de vuelos, imposibilidad de embarque por causas cubiertas, o no llegada del equipaje.
Protección Legal: En caso de problemas legales derivados de un accidente, se facilita acceso a abogados y, en situaciones calificadas, anticipos para fianzas.
Regreso Inesperado: Se cubre la logística de retorno anticipado si ocurre un evento grave en el domicilio del asegurado.",Guía de Uso,"🟢 PRESTACIÓN DIRECTA (Aviso Previo): Antes de acudir a un centro médico o adquirir medicamentos, es necesario contactar a la Central de Asistencia (vía WhatsApp o Teléfono). La central coordina el pago directo e indica el lugar de atención.
🔴 URGENCIA VITAL: Si existe riesgo de vida y no es posible la comunicación previa, se debe acudir al centro médico más cercano. No obstante, es obligatorio dar aviso dentro de las 24 horas siguientes para activar la cobertura.
🟡 REEMBOLSOS: Si se realiza un pago directo (previa autorización), es indispensable conservar toda la documentación original (recetas, boletas, informes médicos, tickets de equipaje) para gestionar la devolución posterior.",Exclusiones,"Enfermedades crónicas o preexistentes (salvo la primera atención de urgencia vital).
Accidentes ocurridos bajo la influencia del alcohol, drogas, o derivados de riñas.
Práctica de deportes extremos o profesionales (salvo especificación contraria en el plan).
Chequeos médicos de rutina, tratamientos estéticos o lentes.",Deberes Asegurado,"Aviso Oportuno: La falta de comunicación con la Central de Asistencia puede derivar en la pérdida de cobertura o la asunción de costos por parte del usuario.
Veracidad: Es obligatorio declarar información veraz sobre el estado de salud (enfermedades preexistentes) y las circunstancias de cualquier siniestro.
Gestión Inmediata: En caso de pérdida o daño de equipaje, el reclamo debe efectuarse ante la aerolínea (formulario PIR) antes de abandonar el aeropuerto. Este documento es requisito para la activación del seguro.",
Bicicleta,"Este seguro está diseñado para proteger la inversión en la bicicleta y brindar respaldo ante situaciones imprevistas como robos violentos o accidentes graves.<br>
Tope monto segurado UF100",Principales Beneficios,"Protección ante Robo: Se indemniza la bicicleta si es robada mediante fuerza (rompiendo el candado/puerta) o intimidación (asalto).
Pérdida Total por Accidente: Si la bicicleta sufre daños graves en un accidente (especialmente en el marco) y la reparación es muy costosa (generalmente más del 75% del valor), se considera pérdida total.
Responsabilidad Civil: Cobertura ante reclamos de terceros si se causa un accidente, daño a otro vehículo o lesión a un peatón.
Defensa Legal: Apoyo con gastos de abogados si el accidente deriva en un proceso legal.",Requisitos Obligatorios,"Para que la cobertura de robo sea válida, es indispensable cumplir con estas normas:

En la Calle: La bicicleta debe estar siempre sujeta por el marco a un objeto fijo (poste, bicicletero anclado) mediante un candado de seguridad homologado (Nivel de seguridad 8 o superior).
En Bodega o Casa: El lugar debe estar cerrado y, aun dentro de la bodega, la bicicleta debe estar asegurada a un objeto fijo.",Protocolo Siniestro,"ROBO (Acción Inmediata):
Acudir a la unidad policial (Carabineros/PDI) más cercana de inmediato (idealmente dentro de las 2 horas).
Dejar constancia detallando la fuerza ejercida (candado roto, chapa forzada) o la violencia sufrida.
Avisar a la compañía de seguros (plazo máximo habitual: 5 días).
ACCIDENTE (Documentación):
Tomar fotografías de los daños en el lugar del hecho.
Guardar la bicicleta (o sus restos); no deshacerse de ella ni repararla sin autorización.
DOCUMENTOS A PRESENTAR:
Parte Policial (obligatorio en robo).
Boleta o Factura de compra (para acreditar propiedad y valor).
Fotos de los daños o del candado vulnerado.",Que NO Cubre,"Hurto Simple: Si la bicicleta se deja sin candado o ""desaparece"" por descuido sin que haya violencia o fuerza.
Uso Comercial: Si la bicicleta se usa para delivery o reparto.
Uso Competitivo: Carreras, descenso (downhill) o acrobacias.
Daños Menores: Si solo se pincha una rueda o se daña un componente menor y el costo de reparación es bajo (no alcanza el umbral de pérdida total).",
Catastrófico: Protección para enfermedades graves,"Este seguro funciona como un ""paracaídas financiero"". Su objetivo no es cubrir gastos médicos menores (como un resfrío), sino proteger el patrimonio familiar ante enfermedades o accidentes de muy alto costo que podrían desestabilizar la economía del hogar.",Principales Beneficios,"Cobertura Millonaria: Acceso a montos de cobertura muy altos (ej. hasta UF 20.000) para financiar tratamientos largos y costosos.
100% de Cobertura Post-Deducible: Una vez superado el monto del deducible, UF 100, el seguro se hace cargo de la totalidad de los gastos médicos cubiertos.
Enfermedades sin Deducible: Para diagnósticos críticos específicos (como Cáncer, Infartos o Trasplantes), la cobertura se activa de inmediato sin necesidad de pagar el deducible.
Libre Elección: Permite atenderse en la clínica o centro médico de preferencia.",¿Cómo Funciona?,"El seguro opera bajo la lógica de ""exceso de pérdida"":

Primera Capa: Primero opera su sistema de salud (Isapre o Fonasa) y seguros complementarios si los tuviera.
Acumulación de Copagos: La parte de la cuenta que no cubre la previsión (el copago) es de cargo del asegurado. Estos montos se van sumando o acumulando.
Superación del Deducible: El asegurado es responsable de pagar estos copagos acumulados hasta completar el monto del deducible.
Cobertura Total: En el momento exacto en que los copagos acumulados por un mismo evento superan el deducible, el seguro se activa y cubre el 100% de los gastos restantes, hasta el tope anual del plan.

Excepción (Beneficio de Deducible Cero): Si el diagnóstico corresponde a una de las 8 enfermedades catastróficas definidas en la póliza (como Cáncer, ACV, Infarto, etc.), se elimina el requisito del deducible. El seguro cubre el 100% del copago inmediatamente después de la cobertura de Isapre o Fonasa, desde el primer peso.",Requisitos para Cobertura,"Declaración de Salud Honesta: Al contratar, es obligatorio declarar cualquier enfermedad preexistente. Las enfermedades que ya tenía antes de contratar no estarán cubiertas.
Uso del Sistema Previsional: Para obtener la cobertura máxima (100%), es necesario hacer uso primero de su Isapre o Fonasa. Si no se usan, la cobertura del seguro disminuye (generalmente al 50%).
Notificación: Ante un diagnóstico grave o accidente, se recomienda activar el seguro lo antes posible para coordinar beneficios y acumulaciones.",Que NO Cubre,"Enfermedades preexistentes (diagnosticadas antes de la contratación).
Cirugías estéticas o con fines de embellecimiento.
Tratamientos de fertilidad, obesidad o adicciones.
Gastos no médicos o suntuarios durante la hospitalización.",
Deporte,Este seguro está diseñado para protegerte económicamente si sufres un accidente mientras practicas tu deporte favorito o en tu vida diaria. Su objetivo es apoyarte con indemnizaciones ante lesiones graves.,Principales Beneficios,"Respaldo en Caso Grave: Si un accidente te causa invalidez permanente o fallecimiento, tú o tu familia reciben un capital importante (ej. UF 1.000).
Apoyo por Fracturas: Si te fracturas un hueso en un accidente, recibes una indemnización para ayudar con los gastos o la recuperación.
Ayuda en Hospitalización: Si el accidente es serio y debes quedar hospitalizado, el seguro te paga un monto diario (después del primer día) para compensar gastos o ingresos perdidos.
Asistencia 24/7: Acceso a orientación médica telefónica e información de salud útil.",¿Cómo Funciona?,"Ocurre el Accidente: Sufres una lesión traumática e involuntaria (caída, golpe, choque).
Atención Médica: Acudes a un centro médico para tu tratamiento. Debes solicitar todos los informes y certificados que acrediten el diagnóstico (ej. fractura, días de hospitalización).
Denuncia: Avisas a la compañía de seguros y presentas los documentos.
Pago: La compañía evalúa el caso y te paga la indemnización correspondiente a tu cobertura.",Requisitos para Cobertura,"Que sea un Accidente Real: Debe ser un evento súbito y externo. No cubre dolores de espalda por mala postura, tirones musculares espontáneos o enfermedades.
Práctica Amateur: Generalmente cubre deportes practicados por recreación. Si compites profesionalmente o por dinero, podrías no tener cobertura.
Denuncia Oportuna: Debes avisar del accidente dentro del plazo establecido (usualmente 30 días).",Que NO Cubre,"Accidentes bajo influencia del alcohol o drogas.
Deportes de alto riesgo (paracaidismo, automovilismo, boxeo, etc.) a menos que se especifique lo contrario.
Lesiones preexistentes (que ya tenías antes de contratar).
Suicidio o autolesiones.
Hernias, lumbagos o tirones musculares no causados por un golpe directo.",
Hogar,"Este seguro está diseñado para que, si ocurre un desastre, no pierdas la inversión de tu vida. Cubre tanto la estructura de tu casa (Edificio) como las cosas que tienes dentro (Contenido).",Principales Beneficios,"Incendio: Si el fuego daña tu casa, el seguro paga la reparación o reconstrucción. También cubre los daños por humo o el agua usada para apagarlo.
Sismo (Si se contrata): Cubre las grietas o derrumbes causados por un terremoto. Ten en cuenta que tiene un deducible alto (tú pagas una parte inicial).
Robo: Te indemniza si entran a robar a tu casa rompiendo cosas (fuerza) o amenazando a las personas (violencia).
Cañerías: Si se rompe una cañería interna y el agua daña tus pisos o muros, el seguro cubre los daños (verifica el límite de antigüedad de tu casa).
Responsabilidad Civil: Si tu perro muerde a un vecino o se cae una maceta sobre un auto, el seguro cubre esos gastos.
Asistencias: Tienes ""maestros de urgencia"" gratis (gasfiter, electricista, cerrajero) para emergencias en el hogar.",Guía de Uso,"En caso de Incendio: Llama a Bomberos y salva lo que puedas sin arriesgar tu vida.
En caso de Robo: Llama a Carabineros de inmediato. Debes hacer la denuncia policial detallando lo robado y los daños (puertas forzadas, vidrios rotos). Sin este papel, el seguro no paga.
Llama a la Compañía: Tienes un plazo (generalmente 5 a 10 días) para avisar a la aseguradora.
No repares sin permiso: Saca fotos de todo, pero no botes cosas ni repares daños definitivos hasta que el liquidador lo autorice (salvo reparaciones de urgencia para evitar más daños).",Obligaciones para tener Cobertura,"Casa Habitada: Si vas a dejar la casa sola por más de 30 días (vacaciones largas o está sin arrendatario), debes avisar a la compañía. Si no avisas, se suspende la cobertura (especialmente robo).
Medidas de Seguridad: Para que cubra el robo, debes tener chapas de seguridad y, si es casa o primer piso, rejas en las ventanas. Si tienes alarma declarada, debe estar conectada.
Mantención: Debes mantener tu casa en buen estado. El seguro no cubre goteras por techos viejos o falta de limpieza de canaletas.
Verdad en los Datos: Debes declarar el material real de tu casa (sólido, madera, mixto) y si la usas para vivir o para negocio.",Que NO Cubre,"Desgaste natural por uso o el paso del tiempo.
Joyas, dinero en efectivo o documentos de valor.
Daños si la casa lleva mucho tiempo deshabitada.
Hurtos simples (si te roban porque dejaste la puerta abierta sin llave).",
Movilidad,Este seguro está diseñado para proteger tu integridad física mientras te mueves por la ciudad o realizas tus actividades diarias. Su objetivo es entregarte un respaldo económico inmediato si sufres lesiones por un accidente.,Principales Beneficios,"Respaldo ante lo Imprevisto: Si un accidente te causa invalidez permanente o fallecimiento, se paga un capital (ej. UF 500) para ti o tu familia.
Indemnización por Fracturas: Si te caes o chocas y te fracturas un hueso, recibes un monto de libre disposición (ej. UF 30) para cubrir gastos o lo que necesites.
Apoyo si quedas Hospitalizado: Si el accidente requiere que te quedes hospitalizado, el seguro te paga una indemnización diaria (a partir del segundo día) para compensar los días que no puedas trabajar o los gastos extra.",¿Cómo Funciona?,"Ocurre el Accidente: Sufres una lesión (caída en bicicleta, choque, atropello, etc.).
Atención Médica: Vas a urgencias. Es fundamental que el médico certifique las lesiones (ej. ""fractura de tibia"") y, si quedas hospitalizado, el certificado de ingreso y alta.
Denuncia: Avisas a la compañía y entregas los documentos médicos.
Pago: Recibes el dinero correspondiente a la cobertura afectada directamente en tu cuenta.",Requisitos para Cobertura,"Que sea un Accidente: Debe ser un evento externo y súbito. No cubre enfermedades, desmayos por salud o lesiones por sobreesfuerzo sin golpe.
Denuncia a Tiempo: Avisar a la aseguradora dentro del plazo estipulado.
Documentación: Guardar radiografías, informes médicos y comprobantes de hospitalización.",Que NO Cubre,"Accidentes si estabas bajo los efectos del alcohol o drogas.
Lesiones o condiciones que ya tenías antes de contratar (preexistencias).
Accidentes participando en carreras o competencias.
Suicidio o lesiones autoinferidas.
Daños materiales a tu vehículo (bicicleta, auto, scooter) o daños a otras personas (solo te cubre a ti).",
RCI: Tu Pasaporte para Viajar en Auto por el Mercosur,Este seguro es obligatorio para ingresar con tu vehículo a países del MERCOSUR. <br>Su objetivo es cubrir los daños que puedas causar a otras personas o sus bienes mientras conduces en el extranjero.,Principales Beneficios,"Cumplimiento Legal: Te permite cruzar las fronteras cumpliendo con la normativa internacional exigida.
Cobertura de Daños a Terceros: Si chocas a otro auto o causas daños a una propiedad, el seguro cubre hasta US$ 20.000 por tercero (con un tope por evento).
Cobertura de Lesiones a Personas: Si causas lesiones o muerte a personas (no transportadas en tu auto), el seguro cubre hasta US$ 40.000 por persona (con un tope por evento).
Defensa Legal: Cubre parte de los gastos de abogados y juicios civiles en el extranjero.",¿Cómo Funciona?,"Ocurre el Siniestro: Tienes un accidente en el extranjero.
No Asumas Culpa: No firmes acuerdos ni reconozcas responsabilidad sin hablar con la aseguradora.
Contacta al Representante: Debes llamar a la aseguradora representante en el país donde estás (los datos están en tu póliza).
Denuncia Policial: Realiza la denuncia ante la autoridad local competente de inmediato.
Aviso: Informa a tu compañía de seguros en tu país de origen dentro de los 5 días hábiles.",Requisitos y Deberes,"Portar el Certificado: Es obligatorio llevar el documento del seguro en el auto durante todo el viaje.
Conductor Habilitado: Quien maneje debe tener licencia válida y competente.
Vehículo Particular: El seguro es para autos de paseo o alquiler, no para transporte comercial de carga o pasajeros (salvo pólizas específicas).",Que NO Cubre,"Daños a tu propio auto: Este seguro NO cubre el robo ni los daños de tu propio vehículo (eso depende de tu seguro automotriz nacional y si tiene extensión territorial).
Daños a familiares: No cubre daños a tu cónyuge o parientes cercanos.
Conducción bajo efectos: Accidentes si el conductor está ebrio o drogado (la aseguradora paga al tercero pero luego te cobra a ti).
Multas: No cubre multas de tránsito ni fianzas penales.",
Responsabilidad Civil Médica,Este seguro está diseñado para proteger el patrimonio y la reputación de los profesionales de la salud frente a reclamos o demandas por presuntos errores u omisiones en la atención de pacientes.​,Principales Beneficios,"Defensa Especializada: Si recibe una demanda o citación a mediación, la aseguradora provee abogados expertos en responsabilidad médica para su defensa.
Respaldo Patrimonial: Si es condenado a pagar una indemnización, el seguro cubre el monto (hasta el tope contratado), evitando que deba responder con sus bienes personales.
Tranquilidad: Permite ejercer la profesión sabiendo que cuenta con respaldo ante la creciente judicialización de la medicina.
Apoyo en Juicios Penales: (Si se contrata) Cubre los gastos de defensa si se le imputa un delito (cuasidelito de lesiones u homicidio) por su actuar profesional.",¿Cómo Funciona?,"Ocurre el Evento o Reclamo: Usted recibe una carta de reclamo, una citación a mediación, una notificación judicial o se entera de una investigación en su contra.
Notificación Inmediata: Debe avisar a la compañía de seguros de inmediato. No espere a ""ver qué pasa"".
Asignación de Defensa: La compañía evaluará el caso y designará un equipo legal para representarlo.
Proceso: El equipo legal llevará su defensa. Usted debe colaborar entregando la ficha clínica e informes requeridos.",Requisitos para Cobertura,"Habilitación Profesional: Debe tener título válido y estar habilitado legalmente para ejercer la especialidad declarada.
Consentimiento Informado: Mantener registros clínicos completos y obtener los consentimientos informados adecuados es clave para la defensa.
No Transigir: Nunca ofrezca dinero, arreglos ni admita culpabilidad ante el paciente o sus abogados sin la autorización escrita de la aseguradora.",Que NO Cubre,"Actos dolosos (intencionales) o cometidos bajo influencia de alcohol/drogas.
Garantía de resultados (ej. prometer ""éxito"" en una cirugía estética).
Cirugía estética con fines de embellecimiento puro (salvo reconstructiva, según póliza).
Actos fuera de la especialidad declarada.
Hechos conocidos antes de contratar el seguro.
Devolución de honorarios médicos.",
Responsabilidad Civil Personal,"Este seguro protege tu patrimonio y el de tu familia si, por accidente o descuido en tu vida privada, causas daños a otras personas o a sus cosas.",Principales Beneficios,"Respaldo Económico: Si eres responsable de un accidente (ej. tu perro muerde a un vecino, tu hijo rompe un vidrio jugando, se inunda el departamento de abajo por una fuga tuya), el seguro paga la indemnización.
Defensa Legal: Si te demandan, la aseguradora pone abogados y cubre los gastos del juicio.
Protección Familiar: Te cubre a ti, a tu pareja, a tus hijos y hasta a tu empleada de casa (en horario laboral).
Mascotas: Cubre los líos en que se metan tus perros o gatos (mientras no sean de raza peligrosa).",¿Cómo Funciona?,"Ocurre el Accidente: Pasa algo que daña a un tercero (un peatón, un vecino, una visita).
No Hagas Arreglos: No ofrezcas dinero ni aceptes la culpa en el momento. Di que tienes seguro y que la compañía se encargará.
Avisa a la Compañía: Denuncia el hecho lo antes posible.
Defensa y Pago: La aseguradora evaluará, te defenderá si es necesario y pagará la indemnización que corresponda.",Requisitos para Cobertura,"Hechos Accidentales: Debe ser sin intención. Los daños causados a propósito (dolo) no se cubren.
Vida Privada: Solo cubre actos de tu vida personal y familiar. No cubre errores en tu trabajo o negocio.
Mascotas en Regla: Tus mascotas deben tener sus vacunas al día y cumplir la normativa de tenencia responsable.",Que NO Cubre,"Daños a tus propias cosas o a tu familia directa (cónyuge, hijos, padres).
Actos intencionales o delitos.
Actividades profesionales o comerciales.
Multas o fianzas.
Uso de vehículos (salvo que se contrate el adicional específico).",
Responsabilidad Civil Profesional,"Este seguro está diseñado para proteger tu patrimonio y el de tu empresa frente a reclamos de clientes que aleguen haber sufrido un perjuicio económico por un error, omisión o negligencia en el servicio profesional que les prestaste.​",Principales Beneficios,"Defensa Legal: Si un cliente te demanda alegando que te equivocaste en tu trabajo, la aseguradora cubre los gastos de abogados para defenderte, incluso si el reclamo no tiene razón.
Pago de Indemnizaciones: Si se determina que cometiste un error profesional y debes compensar al cliente, el seguro paga la indemnización (hasta el tope contratado).
Protección Patrimonial: Evita que debas usar tus propios recursos o los de tu empresa para pagar juicios costosos.",¿Cómo Funciona?,"Cometes un Error (o te acusan de uno): Por ejemplo, un error en la planificación de un evento, un consejo equivocado o un olvido en un procedimiento.
Recibes un Reclamo: El cliente te envía una carta o te demanda exigiendo compensación.
Avisas a la Compañía: Debes notificar a la aseguradora de inmediato.
Defensa: La compañía asigna abogados (o aprueba los tuyos) para manejar el caso.",Requisitos Clave,"No Asumir Culpa: Nunca admitas responsabilidad ni ofrezcas pagos sin hablar primero con la aseguradora. Podrías perder la cobertura.
Aviso Oportuno: Debes avisar apenas sepas de un problema que podría convertirse en demanda.
Actividad Declarada: El seguro solo cubre la profesión o giro descrito en la póliza (ej. Catering). Si haces otra cosa, no está cubierto.",Que NO Cubre,"Actos Intencionales: Daños causados a propósito o delitos.
Garantía de Éxito: No cubre si el cliente reclama solo porque no le gustó el resultado o no obtuvo el éxito esperado, sin que haya un error negligente de tu parte.
Multas: No paga multas que te impongan las autoridades.
Otros Seguros: Generalmente no cubre accidentes de tránsito (RC Auto) ni defectos de productos (RC Producto), salvo que se especifique lo contrario.",
